Var1,M_1,M_2,M_3
PED_01,3532.20123721786,9,9
PED_02,952.719744035018,9,9
PED_03,3078.11128479544,8,8
PED_04,3736.05320663108,10,10
PED_05,2023.6246810154,9,9
PED_06,2075.11583831078,11,11
PED_07,4427.51004284842,10,10
PED_08,906.599022597183,10,10
PED_09,1285.38970151768,9,9
PED_10,1062.09760676862,9,9
PED_11,3755.42042600904,10,10
PED_12,4859.76696028341,9,9
PED_13,620.44593059381,10,10
PED_14,441.147055031377,10,10
PED_15,1239.02890972732,9,9
PED_16,703.55621621387,8,8
PED_17,1095.76960468931,9,9
PED_18,646.157616047042,10,10
PED_19,90.1279952321216,12,12
PED_20,570.430268485178,10,10
PED_21,11754.0558639866,9,9
PED_22,1978.91585974546,10,10
PED_23,1180.74458953779,11,11
PED_24,5118.41845886554,10,10
PED_25,3517.36086042062,10,10
